label,lon,lat
A,-168.3544,-0.4930933333
A,-168.3541866667,-0.4932266667
A,-168.35304,-0.4939733333
A,-168.35144,-0.4949066667
A,-168.3504,-0.4955466667
A,-168.3492266667,-0.4961866667
A,-168.34744,-0.49712
A,-168.3442,-0.4988333333
A,-168.3203833333,-0.50995
A,-168.2808166667,-0.5274833333
A,-168.2761666667,-0.5295166667
A,-168.27455,-0.53025
A,-168.2717866667,-0.53144
A,-168.26952,-0.5324266667
A,-168.2672533333,-0.53344
A,-168.2648533333,-0.5345066667
A,-168.2625866667,-0.5354933333
A,-168.2601866667,-0.5365866667
A,-168.2585866667,-0.53728
A,-168.2553066667,-0.5386933333
A,-168.2529333333,-0.5397333333
A,-168.25056,-0.5408266667
A,-168.2482133333,-0.54192
A,-168.2462666667,-0.5428533333
A,-168.2422666667,-0.54472
A,-168.24152,-0.5450666667
A,-168.2390666667,-0.54624
A,-168.2346666667,-0.5482933333
A,-168.2338933333,-0.5486666667
A,-168.2314666667,-0.5497866667
A,-168.2286133333,-0.5511466667
A,-168.2269866667,-0.5518666667
A,-168.2237333333,-0.55344
A,-168.2217866667,-0.55432
A,-168.2185066667,-0.5558666667
A,-168.2143733333,-0.5577866667
A,-168.2061833333,-0.5616166667
A,-168.2034166667,-0.5629
A,-168.19935,-0.5647833333
A,-168.17805,-0.5746166667
A,-168.082,-0.6188833333
A,-168.0773333333,-0.62112
A,-168.0757333333,-0.62192
A,-168.07408,-0.62272
A,-168.0716533333,-0.6238666667
A,-168.0691733333,-0.6250933333
A,-168.0659733333,-0.6266666667
A,-168.0642933333,-0.62744
A,-168.0618666667,-0.62864
A,-168.05944,-0.6297866667
A,-168.0565866667,-0.6311733333
A,-168.0545866667,-0.63216
A,-168.0520533333,-0.6333866667
A,-168.0496266667,-0.63456
A,-168.04712,-0.6357333333
A,-168.0451466667,-0.6367466667
A,-168.0422666667,-0.6381333333
A,-168.0398666667,-0.6393066667
A,-168.0377333333,-0.6403733333
A,-168.0349066667,-0.6417066667
A,-168.0323733333,-0.6429066667
A,-168.0303733333,-0.6438666667
A,-168.0274666667,-0.6452533333
A,-168.0250666667,-0.6464266667
A,-168.0229333333,-0.6474666667
A,-168.0197333333,-0.64904
A,-168.0171733333,-0.65024
A,-168.0154666667,-0.6510666667
A,-168.0122933333,-0.6525866667
A,-168.0102666667,-0.6535733333
A,-168.0073066667,-0.6549866667
A,-168.0053066667,-0.656
A,-168.0032,-0.6570133333
A,-167.9999733333,-0.6586133333
A,-167.9979733333,-0.6596
A,-167.99544,-0.6608533333
A,-167.99304,-0.6620266667
A,-167.9905333333,-0.6633066667
A,-167.9873066667,-0.6648533333
A,-167.9847733333,-0.6660533333
A,-167.9832,-0.6668533333
A,-167.9807733333,-0.6680533333
A,-167.9232333333,-0.6964166667
A,-167.8427333333,-0.7366
A,-167.838,-0.7389866667
A,-167.83632,-0.73984
A,-167.8252533333,-0.7454133333
A,-167.8228533333,-0.74664
A,-167.81725,-0.74935
A,-167.8153,-0.7503333333
A,-167.7946833333,-0.7605833333
A,-167.77495,-0.76945
A,-167.7736333333,-0.7700166667
A,-167.7602933333,-0.7758933333
A,-167.76,-0.7760266667
A,-167.7574933333,-0.7771466667
A,-167.7550666667,-0.77824
A,-167.75224,-0.7794933333
A,-167.75024,-0.7803733333
A,-167.7477866667,-0.78144
A,-167.7453866667,-0.7825066667
A,-167.7409333333,-0.7844
A,-167.7397333333,-0.78496
A,-167.7372533333,-0.786
A,-167.7348333333,-0.78705
A,-167.7328,-0.78795
A,-167.73,-0.7891833333
A,-167.7267,-0.7906333333
A,-167.7258333333,-0.7910666667
A,-167.66905,-0.8171833333
A,-167.6133833333,-0.8440333333
A,-167.6094666667,-0.8459733333
A,-167.6066133333,-0.8473333333
A,-167.6029666667,-0.8491
A,-167.6025,-0.8493
A,-167.5993,-0.8508666667
A,-167.5981333333,-0.85144
A,-167.5917866667,-0.8544533333
A,-167.58976,-0.8554666667
A,-167.58864,-0.8559733333
A,-167.5861866667,-0.8571733333
A,-167.5829833333,-0.85875
A,-167.5794,-0.8605333333
A,-167.5785833333,-0.8609
A,-167.5757666667,-0.8622666667
A,-167.5734,-0.8634
A,-167.5541166667,-0.8727166667
A,-167.5172333333,-0.8905333333
A,-167.5163466667,-0.8909866667
A,-167.5129866667,-0.89264
A,-167.51088,-0.8936266667
A,-167.5085333333,-0.89472
A,-167.50585,-0.896
A,-167.50424,-0.8968
A,-167.5018666667,-0.89792
A,-167.4978666667,-0.8997833333
A,-167.4959166667,-0.9007
A,-167.49475,-0.9012833333
A,-167.4923166667,-0.9024
A,-167.4899666667,-0.90355
A,-167.4875833333,-0.9046833333
A,-167.48525,-0.9057833333
A,-167.4820333333,-0.9072833333
A,-167.4784,-0.909
A,-167.4430333333,-0.92565
A,-167.4355166667,-0.9291833333
A,-167.4182833333,-0.9373833333
A,-167.3866833333,-0.9523
